book_asin,parent_category,category,isbn_13,title,author,price,publication_date,publisher,rating,review_count
1803232854,Databases & Big Data,Data Processing,979-8849229553,"Database Processing: Fundamentals, Design, and Implementation",David Kroenke,234.66,2018-02-06,Pearson,4.2,71
1423244230,Computer Science,Information Theory,978-1788626859,Claude E. Shannon: Collected Papers,Claude Elwood Shannon,233.75,1993-01-19,Wiley-IEEE Press,4.7,6
1449372635,Security & Encryption,Network Security,978-1782175919,Hands-On Ethical Hacking and Network Defense,Michael T. Simpson,232.82,2016-10-07,Cengage Learning,4.6,195
123819768,Security & Encryption,Network Security,978-1111640125,Security+ Guide to Network Security Fundamentals,Mark Ciampa,231.95,2011-07-25,Cengage Learning,4.4,123
521762936,Databases & Big Data,Data Modeling & Design,978-1492097471,"Database Systems: Design, Implementation, & Management",Carlos Coronel,231.95,2014-02-04,Cengage Learning,4.2,159
123814790,Security & Encryption,Network Security,978-0134817125,Business Data Networks and Security,Raymond Panko,223.84,2018-01-17,Pearson,4.3,100
1617298042,Computer Science,Bioinformatics,978-1492081005,"Essentials of Bioinformatics, Volume III: In Silico Life Sciences: Agriculture",Noor Ahmad Shaik,222.73,2019-11-13,Springer,0,0
1032302267,Computer Science,Bioinformatics,978-1492059899,"Coxiella burnetii: Recent Advances and New Perspectives in Research of the Q Fever Bacterium (Advances in Experimental Medicine and Biology, 984)",Rudolf Toman,222.16,2012-06-22,Springer,0,0
1644116693,Computer Science,Bioinformatics,979-8407243304,Pathogenicity and Drug Resistance of Human Pathogens: Mechanisms and Novel Approaches,Saif Hameed,222.16,2020-01-24,Springer,0,0
1484281489,Computer Science,Bioinformatics,978-1489981325,"Deep Sequencing Data Analysis (Methods in Molecular Biology, 2243)",Noam Shomron,219.99,2021-02-20,Humana,0,0
1789955750,Computer Science,Information Theory,978-1593279165,"Algebraic Aspects of Cryptography (Algorithms and Computation in Mathematics, Vol. 3)",A.J. Menezes,219.99,1998-01-05,Springer,4.6,8
8132208536,Computer Science,Information Theory,978-0262044691,Information Theory and Reliable Communication,Robert G. Gallager,218.94,1991-01-16,Wiley,3.3,6
1800569009,Databases & Big Data,Data Modeling & Design,978-1138199491,Database Systems: The Complete Book,Hector Garcia-Molina,218.68,2008-06-05,Pearson,4.2,55
354073953X,Computer Science,Computer Simulation,978-0072465631,Advances in Fractional Calculus: Theoretical Developments and Applications in Physics and Engineering,J. Sabatier,214.86,2007-07-11,Springer,0,0
1032259485,Computer Science,Bioinformatics,978-1801813099,"Computational Methods for Drug Repurposing (Methods in Molecular Biology, 1903)",Quentin Vanhaelen,213.84,2018-12-14,Humana,0,0
470594799,Databases & Big Data,Data Modeling & Design,978-1491909386,Molecular Modelling: Principles and Applications,Andrew Leach,213.32,2001-01-29,Pearson,4.7,33
1933820241,Computer Science,Systems Analysis & Design,978-1617298882,Signals and Systems,Alan Oppenheim,213.32,1996-08-06,Pearson,4.3,195
107161102X,Computer Science,Bioinformatics,978-9811267178,"Haschek and Rousseaux's Handbook of Toxicologic Pathology, Volume 1: Principles and Practice of Toxicologic Pathology: Volume 1: Principles and Practice of Toxicologic Pathology",Wanda M. Haschek BVSc PhD DACVP FIATP,212.99,2022-01-19,Academic Press,0,0
596516681,Programming Languages,Ada,978-0134032801,Invitation to Computer Science,G.Michael Schneider,209.06,2018-01-01,Cengage Learning,4.5,91
1617795909,Databases & Big Data,Data Modeling & Design,978-1801815536,The LLL Algorithm: Survey and Applications (Information Security and Cryptography),Nguyen,208.2,2009-12-02,Springer,0,0
1484256255,Computer Science,Systems Analysis & Design,978-1936113491,User Centered System Design: New Perspectives on Human-computer Interaction,Donald A. Norman,207,2018-06-08,CRC Press,4.5,2
1590282906,Computer Science,Systems Analysis & Design,978-1593277956,Data and Computer Communications (William Stallings Books on Computer and Data Communications),William Stallings,206.65,2013-09-13,Pearson,3.9,80
B0825PGLR2,Programming Languages,Java,978-1800206557,Java Software Structures: Designing and Using Data Structures,John Lewis,203.99,2013-02-25,Pearson,4.3,38
9400713053,Computer Science,Information Theory,978-3540698838,"Subsurface Solute Transport Models and Case Histories: With Applications to Radionuclide Migration (Theory and Applications of Transport in Porous Media, 25)",Vyacheslav G. Rumynin,201.39,2011-07-21,Springer,5,1
1617297216,Databases & Big Data,Data Modeling & Design,978-1493959648,"First Course in Database Systems, A",Jeffrey Ullman,199.99,2007-09-26,Pearson,4.3,69
1683929047,Computer Science,Bioinformatics,978-0072226805,"eQTL Analysis: Methods and Protocols (Methods in Molecular Biology, 2082)",Xinghua Mindy Shi,199.99,2019-12-19,Springer,0,0
1718502842,Computer Science,Information Theory,978-1718500785,"Games to play and Games not to play: Strategic Decisions via Extensions of Game Theory (Studies in Systems, Decision and Control, 469)",Uri Weiss,199.99,2023-08-26,Springer,0,0
3642386156,Computer Science,Bioinformatics,978-0201183993,"Structural Bioinformatics: Methods and Protocols (Methods in Molecular Biology, 2112)",Zoltán Gáspári,199.99,2020-02-01,Springer,0,0
1107057132,Web Development & Design,Content Management,978-1801073141,All-in-One PMP Exam Prep Kit: Based on PMI's PMP Exam Content Outlin (Test Prep),Andy Crowe PMP PgMP,199.95,2021-01-01,Velociteach,4.5,23
749482168,Databases & Big Data,Data Modeling & Design,978-1119514756,Database System Concepts,Abraham Silberschatz,197.25,2010-01-27,McGraw Hill TAB,4.4,472
1108701124,Security & Encryption,Cryptography,978-1118379523,"Complexity of Lattice Problems: A Cryptographic Perspective (The Springer International Series in Engineering and Computer Science, 671)",Shafi Goldwasser,194.85,2012-10-29,Springer,3.6,3
521518148,Databases & Big Data,Data Processing,978-1938377006,Synthetic Aperture Radar Signal Processing with MATLAB Algorithms,Mehrdad Soumekh,193.68,1999-04-13,Wiley-Interscience,4.2,13
137843100,Computer Science,AI & Machine Learning,978-1032366449,"Handbook of Machine Learning Applications for Genomics (Studies in Big Data, 103)",Sanjiban Sekhar Roy,192.13,2022-06-24,Springer,0,0
672337959,Databases & Big Data,Data Modeling & Design,978-0521804264,"Database Systems: Design, Implementation, & Management",Carlos Coronel,191.52,2016-01-26,Cengage Learning,4.4,171
178439856X,Computer Science,Systems Analysis & Design,979-8841846581,Systems Analysis and Design: An Object-Oriented Approach with UML,Alan Dennis,190.58,2015-03-02,Wiley,4.2,154
1617290890,Databases & Big Data,MySQL,978-1098107963,"Database Systems: Design, Implementation, & Management",Carlos Coronel,188.43,2018-01-01,Cengage Learning,4.4,448
B007N4WU6S,Databases & Big Data,Oracle,978-1846286124,"Database Systems: Design, Implementation, & Management",Carlos Coronel,188.43,2018-01-01,Cengage Learning,4.4,448
047064320X,Computer Science,Systems Analysis & Design,978-1800567641,Digital Control System Analysis & Design,Charles Phillips,186.66,2014-03-06,Pearson,4.1,10
1789343739,Web Development & Design,User Experience & Usability,978-1839210228,Designing the User Interface: Strategies for Effective Human-Computer Interaction,Catherine Plaisant,186.65,2016-04-20,Pearson,4.4,80
1607619768,Computer Science,Bioinformatics,978-0471754992,"Arabidopsis Protocols (Methods in Molecular Biology, 2200)",Jose J. Sanchez-Serrano,185.65,2020-11-12,Humana,0,0
036757540X,Security & Encryption,Network Security,978-1493917105,Hands-On Ethical Hacking and Network Defense (MindTap Course List),Rob Wilson,185.45,2022-03-22,Cengage Learning,3.3,4
1590590961,Computer Science,Systems Analysis & Design,978-0596806750,System Identification: Theory for the User,Lennart Ljung,184.55,1998-12-29,Pearson,3.6,25
128229047,Computer Science,Bioinformatics,978-3319114026,"Fundamentals of Bioinformatics and Computational Biology (Modeling and Optimization in Science and Technologies, 6)",Singh,182.87,2014-10-08,Springer,0,0
367767341,Databases & Big Data,Data Modeling & Design,978-0134429205,Modeling Survival Data: Extending the Cox Model (Statistics for Biology and Health),Terry M. Therneau,182.87,2000-08-11,Springer,3.9,14
1849681945,Computer Science,Systems Analysis & Design,978-3642330520,"Bundle: Systems Analysis and Design, Loose-leaf Version, 11th + MindTap MIS, 1 term (6 months) Printed Access Card",Scott Tilley,182.85,2017-07-07,Cengage Learning,4.7,7
72263148,Computer Science,Bioinformatics,978-3030026332,"Essentials of Bioinformatics, Volume I: Understanding Bioinformatics: Genes to Proteins",Noor Ahmad Shaik,181.24,2019-04-08,Springer,4.3,3
1501354086,Databases & Big Data,Data Modeling & Design,978-0124159532,"Applications of Mathematical Modeling, Machine Learning, and Intelligent Computing for Industrial Development (Smart Technologies for Engineers and Scientists)",Madhu Jain,180,2023-06-15,CRC Press,0,0
B005K046UK,Security & Encryption,Privacy & Online Safety,978-0133250121,Introduction to Computer Security,Michael Goodrich,179.99,2010-10-15,Pearson,4,109
3030819345,Web Development & Design,User Experience & Usability,978-3642634024,"Cyber Deception: Techniques, Strategies, and Human Aspects (Advances in Information Security, 89)",Tiffany Bao,179.99,2023-04-13,Springer,0,0
1498787770,Databases & Big Data,Data Modeling & Design,978-1774856406,Databases Illuminated,Catherine M. Ricardo,179.95,2015-09-07,Jones & Bartlett Learning,4.1,50
262013193,Computer Science,Systems Analysis & Design,978-1492054788,Management Information Systems,James O'Brien,179.9,2010-10-22,McGraw Hill TAB,4.5,86
B01J3RV0BI,Programming Languages,C & C++,978-3037345986,Data Structures & Algorithm Analysis in C++,Mark Weiss,179.45,2013-06-13,Pearson,4.2,96
1032392649,Computer Science,Bioinformatics,978-3642334719,"Essentials of Bioinformatics, Volume II",Shaik,179.23,2019-10-30,Springer,0,0
1032370769,Computer Science,Computer Simulation,978-1108737074,"Simulation of ODE/PDE Models with MATLAB®, OCTAVE and SCILAB: Scientific and Engineering Applications",Alain Vande Wouwer,179,2017-04-30,Springer,5,1
3030689271,Computer Science,Bioinformatics,978-1634621915,"Encyclopedia of Genetics, Genomics, Proteomics, and Informatics (Springer Reference)",George P. Rédei,178.91,2008-04-25,Springer,5,1
3030705579,Computer Science,AI & Machine Learning,978-0321815361,"Theoretical Foundations of Artificial General Intelligence (Atlantis Thinking Machines, 4)",Pei Wang,178.11,2012-09-01,Atlantis Press,0,0
387981845,Computer Science,Bioinformatics,978-1492079224,Current Practice of Clinical Electroencephalography,John S. Ebersole,177.81,2014-06-13,Wolters Kluwer,4.7,45
128053046,Computer Science,Bioinformatics,978-1627037082,"RNA Sequence, Structure, and Function: Computational and Bioinformatic Methods (Methods in Molecular Biology, 1097)",Jan Gorodkin,174.89,2014-03-18,Humana,0,0
B084WRLDSB,Programming Languages,Java,978-3030255091,"Java How to Program, Early Objects (Deitel: How to Program)",Paul Deitel,174.43,2017-02-20,Pearson,4.3,179
521804264,Databases & Big Data,Oracle,978-1634622424,Database Systems Using Oracle,Nilesh Shah,173.32,2004-05-13,Pearson,4.1,22
1789346347,Databases & Big Data,Data Mining,978-0357635087,"Data Mining for Business Analytics: Concepts, Techniques, and Applications in R",Galit Shmueli,171.98,2017-09-05,Wiley,4.3,144
B086G3XNS4,Programming Languages,Java,978-1119821007,Building Java Programs: A Back to Basics Approach,Stuart Reges,170.85,2016-02-05,Pearson,4.3,147
1590598040,Programming Languages,Java,978-0815370406,"Introduction to Java Programming and Data Structures, Comprehensive Version",Y. Liang,170.15,2017-03-01,Pearson,4.3,277
1138483958,Security & Encryption,Cryptography,978-3030145989,The Beauty of Mathematics in Computer Science,Jun Wu,170,2018-11-05,Chapman and Hall/CRC,5,5
1975193067,Computer Science,AI & Machine Learning,978-0521540513,Machine Learning for Planetary Science,Joern Helbert,170,2022-04-08,Elsevier,0,0
013804984X,Computer Science,AI & Machine Learning,978-0262046299,Artificial Intelligence: A Modern Approach (Pearson Series in Artifical Intelligence),Peter Norvig,170,2020-04-28,Pearson,4.6,385
262537559,Computer Science,Cybernetics,978-3967309003,"Chaos in Classical and Quantum Mechanics (Interdisciplinary Applied Mathematics, 1)",Martin C. Gutzwiller,169.99,1990-10-23,Springer,4.5,11
3030676803,Databases & Big Data,Data Mining,978-0596529567,Classification and Learning Using Genetic Algorithms: Applications in Bioinformatics and Web Intelligence (Natural Computing Series),Sankar Kumar Pal,169.99,2007-04-23,Springer,0,0
3642148654,Web Development & Design,User Experience & Usability,978-1789137408,Engineering Education 4.0: Excellent Teaching and Learning in Engineering Sciences (English and German Edition),Sulamith Frerich,169.99,2018-07-21,Springer,0,0
1305117204,Programming Languages,Java,978-1804615461,Data Structures and Algorithms in Java,Roberto Tamassia,169.83,2014-01-28,Wiley,4.3,119
1804618292,Programming Languages,Java,978-0471399742,Data Structures and Algorithms in Java,Michael T. Goodrich,169.83,2014-01-28,Wiley,4.3,119
1619308134,Computer Science,Bioinformatics,978-1119913771,"Genome-Wide Association Studies and Genomic Prediction (Methods in Molecular Biology, 1019)",Cedric Gondro,169.57,2017-04-30,Humana,5,3
3540631437,Computer Science,Bioinformatics,978-1108843607,Bioinformatics and Computational Biology Solutions Using R and Bioconductor (Statistics for Biology and Health),Robert Gentleman,169.39,2005-08-31,Springer,3.5,9
1119740207,Programming Languages,C & C++,978-9811660993,C By Discovery,W. Foster,169.36,2004-08-15,Pearson,3.9,19
1943872368,Security & Encryption,Encryption,978-1466581500,Mining the World Wide Web: An Information Search Approach (The Information Retrieval Series Book 10),Marcus Healey,169.35,2012-12-06,Springer,4.6,7
470611952,Programming Languages,C & C++,978-0124166899,C++ How to Program,Paul Deitel,169.24,2016-02-29,Pearson,4.1,104
1264269056,Computer Science,Bioinformatics,978-1794302686,Handbook of Venoms and Toxins of Reptiles,Stephen P. Mackessy,165.74,2021-05-25,CRC Press,4.8,7
596529562,Databases & Big Data,Data Modeling & Design,978-0596529321,Fundamentals of Database Systems,Ramez Elmasri,165.32,2015-06-08,Pearson,4.3,133
1617298158,Computer Science,Human-Computer Interaction,978-1430223979,Advanced Human-Robot Collaboration in Manufacturing,Lihui Wang,165.3,2021-06-11,Springer,0,0
262693488,Computer Science,Bioinformatics,978-0123820945,"Tracking and Preventing Diseases with Artificial Intelligence (Intelligent Systems Reference Library, 206)",Mayuri Mehta,165.16,2021-07-15,Springer,0,0
1617294616,Computer Science,Bioinformatics,978-0387263717,Concepts in Bioinformatics and Genomics,Jamil Momand,162.99,2016-07-01,Oxford University Press,4.3,20
1119786231,Web Development & Design,Content Management,978-1617293290,"Waste Management Practices: Municipal, Hazardous, and Industrial, Second Edition",John Pichtel,162.82,2014-02-26,CRC Press,4.7,22
262543451,Computer Science,Bioinformatics,978-0367255787,Molecular and Genome Evolution,Dan Graur,160.99,2016-01-04,Sinauer Associates,3.9,11
393866866,Computer Science,Information Theory,978-0464213680,"Airborne Circularly Polarized SAR: Theory, System Design, Hardware Implementation, and Applications (SAR Remote Sensing)",Yuta Izumi,160,2023-05-15,CRC Press,0,0
1590593197,Computer Science,Human-Computer Interaction,979-8750222902,Human Factors in Simple and Complex Systems,Trisha Van Zandt,160,2017-12-26,CRC Press,4.1,26
262545640,Computer Science,Computer Simulation,978-3030767310,Technological Paradigms and Digital Eras: Data-driven Visions for Building Design (PoliTO Springer Series),Giacomo Chiesa,159.99,2019-08-05,Springer,0,0
1785886304,Computer Science,Information Theory,978-1118879368,The Theory of Information and Coding (Encyclopedia of Mathematics and its Applications No. 86),Robert J. McEliece,159.86,2002-05-06,Cambridge University Press,4,1
1447144732,Programming Languages,C#,978-0262529075,Visual C# How to Program (Deitel Series),Paul Deitel,158.65,2016-08-03,Pearson,4.3,106
1009303864,Computer Science,AI & Machine Learning,978-1484286395,"Econometrics with Machine Learning (Advanced Studies in Theoretical and Applied Econometrics, 53)",Felix Chan,158.16,2022-09-08,Springer,0,0
367338858,Programming Languages,C & C++,978-1617296321,Data Structures & Algorithm Analysis in C++,Mark Weiss,157.04,2013-06-13,Pearson,4.2,95
111980857X,Databases & Big Data,Data Processing,978-0367338855,"Big Data Analytics in Earth, Atmospheric and Ocean Sciences (Special Publications)",Thomas Huang,156.82,2022-11-08,American Geophysical Union,0,0
521890799,Web Development & Design,Web Design,978-1838986193,Web Design: Introductory (Shelly Cashman),Jennifer T. Campbell,156.49,2017-04-10,Cengage Learning,4.2,69
367263505,Databases & Big Data,Data Modeling & Design,978-1592481668,"Intelligent Modeling, Prediction, and Diagnosis from Epidemiological Data: COVID-19 and Beyond (Chapman & Hall/CRC Computational Intelligence and Its Applications)",Siddhartha Bhattacharyya,155.84,2021-11-23,Chapman and Hall/CRC,0,0
1509306986,Computer Science,Bioinformatics,978-0596002992,Biomechanics: Circulation (Plant Gene Research: Basic Knowledge),Y.C. Fung,155,1996-11-21,Springer,4.4,5
128044497,Programming Languages,Java,978-0134285436,Java Foundations: Introduction to Program Design and Data Structures,John Lewis,154.79,2016-02-10,Pearson,4.1,79
1943360332,Programming Languages,Java,978-1492090632,Absolute Java,Walter Savitch,154.66,2015-05-01,Pearson,4.5,71
149322302X,Programming Languages,Java,978-1118530801,Data Structures and Algorithm Analysis in Java,Mark Weiss,154.66,2011-11-18,Pearson,4.5,103
161729568X,Programming Languages,C & C++,978-1840788402,Data Structures and Other Objects Using C++,Michael Main,154.66,2010-02-24,Pearson,4,82
111882377X,Databases & Big Data,Data Modeling & Design,978-3540887010,Database Concepts,David Kroenke,153.32,2019-05-09,Pearson,4.3,130
128157399,Computer Science,Bioinformatics,978-3030820398,Stochastic Numerics for Mathematical Physics: Enlarged and revised 2nd edition (Scientific Computation),Grigori N. Milstein,152.9,2021-12-04,Springer,0,0
1098138864,Programming Languages,Python,978-0262538190,Readings from Python Fundamentals,Cengage Cengage,152.87,2020-04-15,Cengage Learning,1,2
9400724446,Computer Science,Bioinformatics,978-1119811558,"Vitalism and the Scientific Image in Post-Enlightenment Life Science, 1800-2010 (History, Philosophy and Theory of the Life Sciences, 2)",Normandin,152.86,2013-06-28,Springer,5,1
1680835343,Computer Science,AI & Machine Learning,978-3031276002,Machine Learning Algorithms for Signal and Image Processing,Suman Lata Tripathi,152.69,2022-12-08,Wiley-IEEE Press,0,0
1801815933,Programming Languages,C & C++,978-1098120610,Starting Out with C++ from Control Structures to Objects,Tony Gaddis,152.23,2017-02-13,Pearson,4.4,556
1484291743,Computer Science,Bioinformatics,978-1617296192,"Computational Methods for Single-Cell Data Analysis (Methods in Molecular Biology, 1935)",Guo-Cheng Yuan,151.95,2019-02-14,Humana,0,0
128195495,Computer Science,Computer Simulation,978-0471431589,"Urban Hydrology, Hydraulics, and Stormwater Quality: Engineering Applications and Computer Modeling",Robert J. Houghtalen,151.86,2003-08-22,Wiley,4.7,8
180107643X,Security & Encryption,Network Security,978-1734467505,"Business Data Communications: Infrastructure, Networking and Security",Tom Case,151.78,2012-08-28,Pearson,4.2,63
123742749,Databases & Big Data,Data Mining,978-1118116197,Data Mining and Predictive Analytics (Wiley Series on Methods and Applications in Data Mining),Daniel T. Larose,150.95,2015-03-16,Wiley,4.4,80
3031067835,Computer Science,Human-Computer Interaction,978-0128053904,Innovations in Artificial Intelligence and Human Computer Interaction in the Digital Era (Intelligent Data-Centric Systems),Surbhi Bhatia,150,2023-07-15,Academic Press,0,0
9811334617,Computer Science,Bioinformatics,978-0387953694,Multi-Criteria Decision-Making Sorting Methods: Applications to Real-World Problems,Luis Martinez Lopez,150,2023-06-15,Academic Press,0,0
B000VHVO48,Databases & Big Data,Data Processing,978-1484288108,Diagnostic Biomedical Signal and Image Processing Applications With Deep Learning Methods: With Deep Learning Methods (Intelligent Data-Centric Systems),Kemal Polat,150,2023-06-15,Academic Press,0,0
1803230223,Databases & Big Data,Data Processing,978-0134855684,"Innovation in Near-Surface Geophysics: Instrumentation, Application, and Data Processing Methods",Raffaele Persico,150,2018-10-22,Elsevier,0,0
1641720735,Computer Science,AI & Machine Learning,978-1098113001,Applications of Machine Learning and Data Analytics Models in Maritime Transportation,Ran Yan,150,2023-02-15,The Institution of Engineering and Technology,0,0
148997685X,Computer Science,AI & Machine Learning,978-1316512821,Probabilistic Machine Learning: Advanced Topics (Adaptive Computation and Machine Learning series),Kevin P. Murphy,150,2023-08-15,The MIT Press,0,0
1783306092,Computer Science,Cybernetics,978-0130669438,Recent Advances in Mechanics and Fluid-Structure Interaction with Applications: The Bong Jae Chung Memorial Volume (Advances in Mathematical Fluid Mechanics),Fernando Carapau,149.99,2022-11-29,Birkhäuser,0,0
1108842143,Computer Science,Human-Computer Interaction,978-1951077082,Experience as Skill: The Somatic Turn in Human-Computer Interaction (Human–Computer Interaction Series),Thecla Schiphorst,149.99,2023-11-11,Springer,0,0
3030764486,Computer Science,AI & Machine Learning,978-1365973000,The Pragmatic Programmer for Machine Learning: Engineering Analytics and Data Science Solutions (Chapman & Hall/CRC Machine Learning & Pattern Recognition),Marco Scutari,149.95,2023-03-31,Chapman and Hall/CRC,0,0
1801819629,Programming Languages,Java,978-3030832735,Data Structures and Abstractions with Java (What's New in Computer Science),Frank Carrano,149.32,2018-03-01,Pearson,4,126
149205478X,Programming Languages,Java,978-1484286630,Starting Out with Java: From Control Structures through Data Structures (What's New in Computer Science),Tony Gaddis,149.32,2018-03-08,Pearson,4.4,71
1803234199,Computer Science,Bioinformatics,978-9814759236,"Cell-free DNA as Diagnostic Markers: Methods and Protocols (Methods in Molecular Biology, 1909)",Valentina Casadio,149.14,2018-12-23,Humana,0,0
1118428145,Databases & Big Data,Data Mining,978-1800207806,Introduction to Data Mining,Michael Steinbach,148.8,2005-05-02,Pearson,4.2,270
149209871X,Computer Science,Bioinformatics,978-1493932542,Bionics by Examples: 250 Scenarios from Classical to Modern Times,Werner Nachtigall,148.18,2014-10-08,Springer,0,0
3540921419,Web Development & Design,Web Design,978-0674241596,Web Development and Design Foundations with HTML5 (What's New in Computer Science),Terry Felke-Morris,146.65,2018-02-02,Pearson,4.5,287
1071612409,Computer Science,Bioinformatics,978-1617297946,"DNA Barcodes: Methods and Protocols (Methods in Molecular Biology, 858)",Ida Lopez,146.21,2012-06-12,Humana,0,0
B00KNZDEYQ,Computer Science,Systems Analysis & Design,978-1803235820,Management Information Systems for the Information Age,Stephen Haag,145.99,2012-02-02,McGraw Hill TAB,4.2,164
1509302581,Programming Languages,CSS,978-1782171386,Responsive Web Design with HTML 5 & CSS (MindTap Course List),Jessica Minnick,145.88,2020-02-06,Cengage Learning,4.6,24
1788299876,Programming Languages,CSS,978-1108738934,Responsive Web Design with HTML 5 & CSS (MindTap Course List),Jessica Minnick,145.83,2020-02-06,Cengage Learning,4.6,24
3319141414,Computer Science,Systems Analysis & Design,978-1839212062,Systems Analysis and Design in a Changing World,John W. Satzinger,144.95,2015-01-29,Cengage Learning,4.3,204
1718502605,Web Development & Design,Content Management,978-1800205659,"Knowledge Management, Business Intelligence, and Content Management: The IT Practitioner's Guide",Jessica Keyes,144.84,2006-05-22,Auerbach Publications,5,1
1439867917,Computer Science,Systems Analysis & Design,978-0691171692,Model-Based System Architecture (Wiley Series in Systems Engineering and Management),Jesko G. Lamm,144.49,2015-11-02,Wiley,4.3,9
3030386163,Computer Science,AI & Machine Learning,978-1491901632,Hyperspectral Image Analysis: Advances in Machine Learning and Signal Processing (Advances in Computer Vision and Pattern Recognition),Saurabh Prasad,144.26,2020-04-28,Springer,5,1
1118804678,Programming Languages,Java,978-0593233221,Java Software Solutions,John Lewis,143.99,2017-02-10,Pearson,4.2,118
1509304525,Programming Languages,Java,978-1119182979,"Introduction to Java Programming, Brief Version",Y. Liang,143.99,2017-03-02,Pearson,4.4,105
1803234695,Computer Science,Bioinformatics,978-1803249414,"Vaccine Design: Methods and Protocols, Volume 3. Resources for Vaccine Development (Methods in Molecular Biology, 2412)",Sunil Thomas,143.19,2021-12-17,Humana,0,0
133876705,Computer Science,Systems Analysis & Design,978-1680506822,Modern Systems Analysis and Design,Joseph Valacich,141.73,2016-01-07,Pearson,4.4,110
1284199843,Programming Languages,C & C++,978-0131401600,Problem Solving with C++,Walter Savitch,141.73,2017-02-10,Pearson,4.5,130
1098130723,Databases & Big Data,Data Modeling & Design,978-0596809485,Methodology for Multilevel Modeling in Educational Research: Concepts and Applications,Myint Swe Khine,141.7,2022-04-11,Springer,0,0
1839381639,Programming Languages,Ada,978-0071823074,"Ada 2012 Reference Manual. Language and Standard Libraries: International Standard ISO/IEC 8652/2012 (E) (Lecture Notes in Computer Science, 8339)",S. Tucker Taft,141.6,2014-01-15,Springer,2,1
1284211657,Computer Science,Bioinformatics,978-0132747189,"Biometric System and Data Analysis: Design, Evaluation, and Data Mining",Ted Dunstone,141.5,2008-12-02,Springer,0,0
1948426951,Databases & Big Data,Data Mining,978-1491963418,"Biometric System and Data Analysis: Design, Evaluation, and Data Mining",Ted Dunstone,141.4,2008-12-02,Springer,0,0
357424379,Programming Languages,C#,978-1292351629,Starting out with Visual C#,Tony Gaddis,141.3,2016-02-24,Pearson,4.3,135
1628723270,Computer Science,AI & Machine Learning,978-1839535598,"Machine Learning for Business Analytics: Concepts, Techniques and Applications with JMP Pro",Galit Shmueli,140.95,2023-05-31,Wiley,4.2,82
1788295668,Databases & Big Data,Data Processing,978-1593279660,"Machine Learning for Business Analytics: Concepts, Techniques, and Applications with Analytic Solver Data Mining",Kuber R. Deokar,140.95,2023-05-09,Wiley,4.1,148
3640581830,Computer Science,AI & Machine Learning,978-1617299773,"Machine Learning for Business Analytics: Concepts, Techniques and Applications in RapidMiner",Galit Shmueli,140.95,2023-03-08,Wiley,0,0
9811962537,Computer Science,AI & Machine Learning,978-1789349917,"Machine Learning for Business Analytics: Concepts, Techniques, and Applications in R",Peter C. Bruce,140.95,2023-03-08,Wiley,0,0
1617296570,Computer Science,Computer Simulation,978-0486605869,Handbook of Mathematical Models in Computer Vision,Nikos Paragios,140.83,2005-10-31,Springer,4.3,2
